latitude,longitude,address,datetime,datetimeEpoch,tempmax,tempmin,temp,humidity,precip,precipcover,snow,snowdepth,windgust,windspeed,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,description,date,pm25,pm10,o3,no2,so2,co,City
23,43.2934,5.37132,Marseille,2015-01-24,1422054000,8.9,4.1,5.7,61.33,0.0,0.0,,,92.4,63.6,1015.2,15.2,26.8,,,0.0,Clear,Clear conditions throughout the day.,2015-01-24,65.0,12.0,,,,,Marseille
24,43.2934,5.37132,Marseille,2015-01-25,1422140400,8.9,3.9,5.9,55.96,0.0,0.0,,,73.8,48.0,1018.1,7.2,38.6,,,0.0,Clear,Clear conditions throughout the day.,2015-01-25,44.0,22.0,,,,,Marseille
25,43.2934,5.37132,Marseille,2015-01-26,1422226800,8.1,0.2,4.8,62.15,0.0,0.0,,,40.6,28.2,1023.7,65.6,28.2,,,0.0,Partially cloudy,Partly cloudy throughout the day.,2015-01-26,58.0,18.0,,,,,Marseille
26,43.2934,5.37132,Marseille,2015-01-27,1422313200,8.9,5.8,7.3,64.27,0.0,0.0,,,90.6,65.7,1018.5,70.5,41.5,,,0.0,Partially cloudy,Partly cloudy throughout the day.,2015-01-27,40.0,21.0,,,,,Marseille
27,43.2934,5.37132,Marseille,2015-01-28,1422399600,10.3,4.1,6.6,59.99,0.0,0.0,,,54.6,33.2,1019.0,30.8,37.8,,,0.0,Partially cloudy,Partly cloudy throughout the day.,2015-01-28,57.0,26.0,,,,,Marseille
28,43.2934,5.37132,Marseille,2015-01-29,1422486000,11.6,3.3,7.6,79.28,3.22,16.67,,,53.0,29.0,1003.2,81.8,23.1,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,2015-01-29,58.0,16.0,,,,,Marseille
29,43.2934,5.37132,Marseille,2015-01-30,1422572400,10.5,5.1,7.8,64.96,0.6000000000000001,4.17,,,63.3,40.8,988.3,48.8,35.6,,,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,2015-01-30,44.0,21.0,,,,,Marseille
30,43.2934,5.37132,Marseille,2015-01-31,1422658800,10.6,-0.30000000000000004,4.9,73.26,0.0,0.0,,,37.9,26.6,988.2,33.3,27.7,,,0.0,Partially cloudy,Partly cloudy throughout the day.,2015-01-31,58.0,11.0,,,,,Marseille
31,43.2934,5.37132,Marseille,2015-02-01,1422745200,8.6,0.0,4.8,64.29,0.0,0.0,,,53.2,36.1,998.0,22.2,38.0,,,0.0,Partially cloudy,Partly cloudy throughout the day.,2015-02-01,37.0,15.0,,,,,Marseille
32,43.2934,5.37132,Marseille,2015-02-02,1422831600,9.0,0.7000000000000001,4.6,65.16,0.0,0.0,,,47.3,30.7,1005.1,24.9,37.0,,,0.0,Partially cloudy,Partly cloudy throughout the day.,2015-02-02,47.0,26.0,,,,,Marseille
