temp,humidity,precip,windspeed,pressure,cloudcover,visibility,uvindex,pm25,pm10,o3,no2,Clear,Partially cloudy,Rain,Snow,Overcast,month,day_of_week,target
46,7.7,77.25,0.21,19.2,1011.5,14.3,25.3,0.0,50.0,39.0,25.0,51.0,0,0,1,0,0,2,6,0
47,7.1,80.6,0.0,16.9,1013.0,16.6,21.5,0.0,69.0,44.0,11.0,49.0,1,0,0,0,0,2,0,1
48,6.9,79.64,0.02,13.2,1013.2,22.0,21.6,0.0,82.0,74.0,15.0,53.0,0,1,1,0,0,2,1,1
49,8.8,81.17,0.26,15.9,1015.4,23.1,22.1,0.0,67.0,22.0,22.0,41.0,0,1,1,0,0,2,2,1
50,9.6,89.56,2.32,23.8,1010.0,25.4,18.0,0.0,54.0,26.0,23.0,44.0,0,1,1,0,0,2,3,1
51,7.9,71.58,0.0,21.7,1010.1,15.5,26.9,0.0,45.0,30.0,19.0,45.0,1,0,0,0,0,2,4,0
52,6.5,83.52,3.29,17.7,1014.8,19.2,23.2,0.0,66.0,33.0,24.0,39.0,0,0,1,0,0,2,5,1
53,8.4,79.78,0.0,16.7,1018.6,10.8,18.2,0.0,62.0,40.0,20.0,54.0,1,0,0,0,0,2,6,1
54,9.6,70.4,0.0,19.4,1011.8,7.6,25.6,0.0,76.0,27.0,23.0,44.0,1,0,0,0,0,2,0,1
55,9.7,74.48,2.4,31.3,1008.4,19.5,25.1,0.0,53.0,41.0,18.0,53.0,0,0,1,0,0,2,1,1
56,7.5,77.16,0.01,14.2,1017.0,21.7,22.7,0.0,65.0,31.0,17.0,52.0,0,1,1,0,0,2,2,1
57,6.1,86.08,11.28,24.4,1015.0,18.4,20.0,0.0,60.0,30.0,16.0,57.0,0,0,1,0,0,2,3,1
58,6.3,86.78,5.41,17.4,1000.7,24.9,20.2,0.0,61.0,40.0,18.0,60.0,0,1,1,0,0,2,4,1
59,6.1,78.87,0.48,13.7,1002.6,18.5,17.8,0.0,87.0,45.0,24.0,47.0,0,0,1,0,0,3,5,1
60,5.8,71.39,0.0,23.3,1002.1,11.3,18.5,0.0,100.0,25.0,21.0,50.0,1,0,0,0,0,3,6,1
61,6.6,82.7,6.14,24.2,989.4,22.1,20.9,0.0,53.0,44.0,15.0,65.0,0,1,1,0,0,3,0,1
62,7.2,74.31,0.0,12.8,1004.1,22.5,21.5,0.0,78.0,80.0,22.0,72.0,0,1,0,0,0,3,1,1
63,8.1,68.32,0.01,9.3,1019.9,4.6,21.2,0.0,97.0,64.0,20.0,70.0,0,0,1,0,0,3,2,1
