datetime,pm25,pm10,o3,no2
127,2014-05-08,38.0,31.0,29.0,35.0
128,2014-05-09,43.0,26.0,27.0,32.0
129,2014-05-10,49.0,32.0,29.0,28.0
130,2014-05-11,35.0,61.0,21.0,41.0
131,2014-05-12,39.0,28.0,23.0,41.0
132,2014-05-13,45.0,38.0,31.0,47.0
133,2014-05-14,57.0,43.0,33.0,51.0
134,2014-05-15,63.0,85.0,32.0,54.0
135,2014-05-16,69.0,59.0,42.0,60.0
136,2014-05-17,82.0,51.0,44.0,61.0
137,2014-05-18,74.0,48.0,43.0,63.0
138,2014-05-19,64.0,34.0,27.0,53.0
139,2014-05-20,55.0,37.0,26.0,52.0
140,2014-05-21,70.0,29.0,29.0,49.0
141,2014-05-22,58.0,31.0,25.0,49.0
142,2014-05-23,58.0,25.0,26.0,38.0
143,2014-05-24,54.0,31.0,32.0,47.0
144,2014-05-25,60.0,34.0,24.0,49.0
145,2014-05-26,65.0,30.0,23.0,37.0
146,2014-05-27,59.0,32.0,21.0,45.0
147,2014-05-28,58.0,31.0,33.0,44.0
148,2014-05-29,60.0,40.0,30.0,50.0
149,2014-05-30,72.0,50.0,35.0,43.0
150,2014-05-31,86.0,37.0,34.0,49.0
151,2014-06-01,70.0,79.0,35.0,55.0
152,2014-06-02,81.0,36.0,27.0,57.0
153,2014-06-03,67.0,28.0,22.0,43.0
154,2014-06-04,51.0,32.0,28.0,48.0
155,2014-06-05,52.0,64.0,38.0,71.0
156,2014-06-06,71.0,43.0,39.0,53.0
157,2014-06-07,71.0,33.0,39.0,41.0
158,2014-06-08,64.0,32.0,34.0,49.0
159,2014-06-09,66.0,42.0,14.0,56.0
160,2014-06-10,78.0,37.0,35.0,48.0
161,2014-06-11,65.0,41.0,38.0,57.0
162,2014-06-12,60.0,47.0,44.0,60.0
163,2014-06-13,75.0,42.0,26.0,36.0
164,2014-06-14,62.0,43.0,32.0,34.0
165,2014-06-15,57.0,45.0,29.0,38.0
166,2014-06-16,56.0,45.0,24.0,39.0
167,2014-06-17,61.0,50.0,31.0,43.0
168,2014-06-18,66.0,43.0,23.0,42.0
169,2014-06-19,61.0,49.0,23.0,43.0
170,2014-06-20,63.0,69.0,31.0,47.0
171,2014-06-21,60.0,63.0,43.0,57.0
172,2014-06-22,70.0,53.0,31.0,55.0
173,2014-06-23,62.0,54.0,39.0,61.0
174,2014-06-24,72.0,48.0,32.0,50.0
175,2014-06-25,70.0,52.0,40.0,63.0
176,2014-06-26,71.0,45.0,27.0,47.0
177,2014-06-27,67.0,35.0,20.0,43.0
178,2014-06-28,67.0,28.0,22.0,35.0
179,2014-06-29,58.0,39.0,29.0,53.0
180,2014-06-30,69.0,38.0,34.0,54.0
181,2014-07-01,62.0,40.0,42.0,59.0
182,2014-07-02,64.0,52.0,50.0,79.0
183,2014-07-03,74.0,44.0,36.0,63.0
184,2014-07-04,74.0,24.0,19.0,26.0
185,2014-07-05,42.0,24.0,24.0,34.0
186,2014-07-06,51.0,37.0,18.0,48.0
187,2014-07-07,70.0,32.0,21.0,46.0
188,2014-07-08,64.0,36.0,22.0,37.0
189,2014-07-09,65.0,29.0,18.0,35.0
190,2014-07-10,53.0,31.0,21.0,38.0
191,2014-07-11,59.0,37.0,36.0,43.0
192,2014-07-12,71.0,30.0,20.0,28.0
193,2014-07-13,59.0,33.0,32.0,41.0
194,2014-07-14,63.0,42.0,29.0,53.0
195,2014-07-15,85.0,46.0,43.0,63.0
196,2014-07-16,82.0,50.0,46.0,65.0
197,2014-07-17,81.0,53.0,63.0,80.0
198,2014-07-18,84.0,50.0,53.0,55.0
199,2014-07-19,84.0,27.0,28.0,33.0
200,2014-07-20,63.0,32.0,38.0,40.0
201,2014-07-21,66.0,40.0,44.0,45.0
202,2014-07-22,70.0,53.0,42.0,61.0
203,2014-07-23,101.0,53.0,55.0,74.0
204,2014-07-24,82.0,52.0,50.0,64.0
